Index,Hero,T_Picked,T_Wins,T_Loses,T_WinRate,T_PickPercentage,BS_Picked,BS_Wins,BS_Loses,BS_WinRate,RS_Picked,RS_Wins,RS_Loses,RS_WinRate,T_Banned,T_BansPercentage,T_PicksBans,T_PicksBansPercentage,Played By,Played With,Played Vs.,Roles
1, Valentina,727,334,393,45.94%,52.00%,348,157,191,45.11%,379,177,202,46.70%,484,34.62%,1211,86.62%,19 (11-8)19 (10-9)19 (10-9)19 (7-12)17 (8-9), 164 (83-81) 162 (79-83) 140 (71-69) 121 (58-63) 117 (46-71), 218 (85-133) 178 (68-110) 174 (77-97) 173 (82-91) 132 (61-71),Mage
2, Fredrinn,726,383,343,52.75%,51.93%,361,184,177,50.97%,365,199,166,54.52%,475,33.98%,1201,85.91%,21 (15-6)18 (14-4)18 (12-6)18 (9-9)17 (10-7), 164 (83-81) 131 (81-50) 126 (69-57) 122 (69-53) 121 (68-53), 218 (133-85) 190 (106-84) 185 (79-106) 173 (89-84) 147 (71-76),Support
3, Terizla,620,348,272,56.13%,44.35%,291,168,123,57.73%,329,180,149,54.71%,435,31.12%,1055,75.46%,22 (12-10)18 (10-8)15 (9-6)14 (10-4)14 (8-6), 162 (79-83) 114 (76-38) 108 (56-52) 105 (49-56) 97 (50-47), 185 (106-79) 178 (110-68) 132 (70-62) 119 (65-54) 112 (59-53),Fighter
4, Edith,527,265,262,50.28%,37.70%,258,125,133,48.45%,269,140,129,52.04%,477,34.12%,1004,71.82%,14 (9-5)14 (9-5)14 (6-8)13 (10-3)13 (9-4), 122 (69-53) 112 (48-64) 109 (55-54) 100 (42-58) 98 (60-38), 174 (97-77) 147 (76-71) 132 (62-70) 108 (51-57) 101 (58-43),Tank
5, Irithel,502,255,247,50.80%,35.91%,245,129,116,52.65%,257,126,131,49.03%,208,14.88%,710,50.79%,16 (8-8)15 (10-5)15 (10-5)12 (7-5)12 (7-5), 140 (71-69) 126 (69-57) 108 (56-52) 100 (42-58) 98 (44-54), 145 (73-72) 132 (60-72) 120 (68-52) 110 (47-63) 108 (57-51),Marksman
6, Martis,479,215,264,44.89%,34.26%,249,121,128,48.59%,230,94,136,40.87%,299,21.39%,778,55.65%,16 (11-5)11 (2-9)10 (8-2)10 (6-4)10 (6-4), 117 (46-71) 109 (55-54) 105 (49-56) 98 (44-54) 83 (44-39), 189 (83-106) 132 (71-61) 101 (43-58) 95 (39-56) 87 (40-47),Fighter
7, Beatrix,460,249,211,54.13%,32.90%,224,118,106,52.68%,236,131,105,55.51%,166,11.87%,626,44.78%,15 (11-4)14 (8-6)13 (9-4)13 (8-5)12 (4-8), 131 (81-50) 108 (53-55) 98 (60-38) 80 (35-45) 77 (38-39), 130 (80-50) 113 (59-54) 112 (53-59) 88 (36-52) 79 (43-36),Marksman
8, Bruno,433,233,200,53.81%,30.97%,198,99,99,50.00%,235,134,101,57.02%,299,21.39%,732,52.36%,14 (9-5)13 (8-5)11 (9-2)10 (9-1)9 (5-4), 108 (61-47) 108 (55-53) 97 (50-47) 83 (44-39) 77 (38-39), 132 (72-60) 119 (71-48) 112 (56-56) 97 (46-51) 93 (55-38),Marksman
9, Paquito,431,221,210,51.28%,30.83%,206,110,96,53.40%,225,111,114,49.33%,429,30.69%,860,61.52%,15 (12-3)13 (6-7)12 (9-3)12 (8-4)11 (8-3), 104 (46-58) 87 (45-42) 87 (44-43) 77 (38-39) 70 (30-40), 119 (54-65) 117 (60-57) 113 (51-62) 88 (47-41) 80 (34-46),Fighter
10, Baxia,423,225,198,53.19%,30.26%,209,112,97,53.59%,214,113,101,52.80%,491,35.12%,914,65.38%,14 (9-5)11 (9-2)11 (7-4)10 (8-2)9 (5-4), 96 (47-49) 87 (44-43) 81 (50-31) 81 (46-35) 74 (32-42), 173 (84-89) 106 (54-52) 105 (48-57) 86 (48-38) 76 (39-37),Tank
11, Novaria,407,219,188,53.81%,29.11%,212,109,103,51.42%,195,110,85,56.41%,415,29.69%,822,58.80%,13 (9-4)12 (8-4)11 (6-5)10 (7-3)10 (7-3), 121 (68-53) 88 (46-42) 87 (54-33) 81 (50-31) 73 (39-34), 173 (91-82) 100 (52-48) 99 (55-44) 83 (38-45) 76 (46-30),Mage
12, Claude,379,189,190,49.87%,27.11%,197,102,95,51.78%,182,87,95,47.80%,342,24.46%,721,51.57%,17 (12-5)13 (9-4)11 (5-6)10 (5-5)10 (4-6), 107 (50-57) 106 (56-50) 79 (48-31) 79 (44-35) 65 (29-36), 98 (50-48) 96 (47-49) 86 (37-49) 74 (33-41) 74 (33-41),Marksman
13, Khufra,336,155,181,46.13%,24.03%,186,84,102,45.16%,150,71,79,47.33%,247,17.67%,583,41.70%,15 (9-6)12 (9-3)10 (8-2)9 (4-5)9 (3-6), 88 (41-47) 77 (36-41) 72 (27-45) 62 (28-34) 62 (25-37), 122 (59-63) 85 (38-47) 74 (26-48) 64 (32-32) 61 (28-33),Tank
